nspec,t90,t90_lo,t90_hi,t99,t99_lo,t99_hi,stellar_mass
5,4.718316553369358,0.19357559490826404,0.4728931970860595,5.042711464732928,0.29136835089191404,0.6503297362885752,10.694765339702942
6,10.377543579487035,1.051311043591605,0.9106120612387958,12.56895903118451,0.04586321715554398,0.03086513707934735,10.257374034470732
8,1.6909865901779988,0.0,1.5150309665774768,3.114838235049684,0.0,6.090502045759878,10.21736839679673
11,1.9852889396619549,0.0,4.347639951464107,3.095139874992337,0.0,3.688456116220702,10.147459602698449
16,5.331213105725883,1.2158766293573846,1.2158766293573837,8.612765255971363,0.0,0.0,10.215982651897507
17,3.713169718231229,0.2284738212127806,0.6541356135770906,10.721135571312963,0.22059069930501707,0.6315657158152099,10.670668731606787
24,3.5688268175040236,0.0,1.5380423938370797,12.295064575807798,0.01179048023240803,0.1663339885285442,10.599586017442473
26,0.658070645614517,0.10822038907638809,1.7502113449223229,10.497241657528498,0.08793014820683176,1.422064217895839,9.673693019395516
27,2.715642838344926,0.05216070170357856,1.3586000969798429,8.647779220808966,0.08680626921628587,2.2609934668040346,10.619186770083914
28,5.769837117484293,0.39053609238662546,1.5529031691262905,12.448791323872179,0.1389049071782491,0.08697154895261505,10.377958602981941
29,6.872538524592362,0.012293966018256164,1.9219169783159247,11.91901755877205,0.0007156681915034824,0.11188048234778059,10.484371632579077
30,0.49924524841863493,0.48679773199445575,4.916037554401717,10.494184785926056,0.05847087901546111,0.5904814632171647,10.666555013229491
35,4.5404983303420785,0.016237465793658146,0.47289878217523196,6.45676977081279,0.14187957114662098,4.1320903928854475,10.206398816157982
37,6.563577051656649,0.0,1.226650185458963,6.91654871199901,0.0,2.1607190712990914,10.609561678756886
41,8.801908559201687,0.0,0.4885415836784297,9.552612670336883,0.02765050386558876,1.4069062556927427,9.893912847575042
47,5.538558211900272,0.009547058580076317,0.35897729123888045,6.204536477590327,0.09904214395269495,3.724066450040219,10.122020818520129
48,1.6074491131723032,0.04907220887585617,0.9461506370844808,10.668330038245692,0.028871594147855006,0.5566669571721174,10.49483233533257
49,8.287409522786051,0.3235263210283641,1.3351235205038066,12.353703404490759,0.24376892204603884,0.11406668038478607,9.952990570851673
51,10.878219262973756,1.4637210134045748,0.4494683045433696,12.434297605301317,0.4431153831502037,0.08893520869490956,9.056913663396823
54,7.28854264089114,0.0,0.32124089065608263,8.03901316848562,0.1776888482045864,2.9466661436785557,10.347520317712117
55,6.698115777009963,0.0,0.6108911112345519,8.028298964249842,0.20967022502782307,2.4325974966370687,10.67759391291023
58,3.200908450651536,0.0,2.3265072057982787,3.200908657411064,0.0,2.9788490559731193,8.9202803468689
59,5.166540720476083,0.0,4.07293531537704,12.617616559022967,0.0,1.0426497706106375e-05,10.083610895486036
64,1.8988852067435238,0.0,2.711155418455112,2.022676153346402,0.0,2.627604714653475,10.406167901040991
65,1.4011528153457893,0.0,4.597546092412912,1.4161678660649497,0.0,5.256630005683933,9.696637068828556
71,5.105495457786327,0.0,1.0366498287407921,8.528478942244057,0.0,2.221102722026277,10.30351074353981
75,3.495839997974954,0.14942774395356295,3.2132168978606415,11.412960141656033,0.03378361942159458,0.7264654737081209,10.010199066008049
77,6.770224614997412,0.5374099678735149,2.7937919289284014,7.022919213570011,0.6525071443597827,3.004258291826096,10.777534027786041
80,5.162895044902954,0.5764190585162252,1.379840464753741,7.769546202584783,1.214073236669492,3.044854345097699,9.997896922442806
81,3.9242617761626857,0.007718412267765373,5.076069253925766,3.9275073447434545,0.008456626990465121,5.561561467439954,9.689657943467333
85,6.261005014030982,0.0,1.4625298963179496,9.69077373742276,0.0,0.10310113172673674,10.316967718223495
91,7.679245698217498,0.0,0.23981970138006314,8.919121024699253,0.0,2.344557173250177,9.666768590295264
92,2.601146729227412,0.0,2.4390738627512527,2.6168266036516608,0.0,4.341873031405653,10.926225851153271
93,3.9615076381412497,0.0,2.658062146710676,8.311319235160191,0.0,1.5366881678588555,10.158640128439682
94,0.274771971596115,0.0,0.7023800056199028,2.426442804309894,0.018875250119833265,5.61241675355348,10.260374537453517
95,1.125157172853229,0.0,0.4186750927008638,2.2842385127174554,0.0,6.79933232209505,10.142209208991995
101,7.822096991834406,1.196669542888242,1.660702039179598,11.66610107574125,3.4983813975767273,0.6167866923132408,10.350215436708625
107,4.104198089231499,0.0,1.317726442561991,6.196411008233221,0.0,4.192279807235551,11.07223279136864
109,3.683114929045659,0.0,2.7112288738084436,7.548902331147822,0.0,0.1001139366049868,10.177817528247914
131,5.267445939958933,0.0010219404291600398,1.6697451309590425,7.830170785333356,0.0,0.73762328284724,10.380428729838204
133,7.23448733802771,0.0,3.4224586537795982,11.384243262679792,0.0,0.7085735959324992,10.119977870975966
135,4.977123921170229,0.0010996970295584774,1.01366343576551,5.507355526299606,0.0008875579079736795,0.8181207862303808,10.36612194861907
143,5.781165024861786,0.0,2.9370769617829557,9.176320659006965,0.0,0.7656807429909804,11.010976824761597
146,3.8718042982020764,0.0,3.392176923041684,9.703030615487851,0.0015270033988663556,1.6579943061393099,9.967038461343076
147,5.37688181838392,0.0,2.948614521431315,5.981005310374244,0.0,3.6242294702645586,10.838216308126384
174,5.9735709216056145,1.0919234475514523,0.4906292050991743,6.214875457541129,0.695209472204616,0.5922750974527,10.914545554645432
214,1.3768033258194199,0.5060235222762379,0.9992823396687645,1.428129468986199,0.2393392851044278,1.7114152538598981,10.939452731069162
216,9.384956916916448,0.766631999718566,1.9529448358146446,12.494629657040784,0.11193603525633655,0.06148129210251341,9.54124701876576
236,8.219724661509488,0.43258015963772056,0.6089776371549185,8.753753221092687,0.5562958451868241,1.1508813429138733,10.124778370278221
237,5.095653984075083,0.06541287883465774,0.5704864844186437,5.143294342124463,0.06736755754955048,1.455506362682648,10.1609825600238
287,9.351496426624104,0.9279863468060512,1.5577935846293336,12.366598953868206,0.3960752333643498,0.1409748569894571,10.486739492810607
337,4.7506919756373795,0.0,0.0,5.471736794744526,0.0,0.0,10.731121741646382
363,7.251975648754119,1.0386023335328582,1.5163026852031258,12.468726843184236,0.0964425087102736,0.06536204462231865,10.188939717647404
378,1.9308354430887102,0.28129609456801674,0.8904498632657529,12.503017235496682,0.07250966268113501,0.03818415688537158,9.56433001157996
396,5.565115214445593,0.7802469151326923,1.2071598856666101,6.808036477044004,0.8629086307949345,3.439418993541169,10.498770520939464
444,2.9910661694449714,0.0,0.0,2.9917598734595585,0.0,0.0,10.21754970767445
465,12.378115318934423,0.31971901840432615,0.10604975005710848,12.567190564056077,0.05583977312939936,0.02378582008237551,9.427697433469907
502,6.145360212200988,0.6675230203834159,0.4164116424426556,12.420526043425813,0.11699338383822244,0.10616684207062654,9.857319647526062
511,5.498199907987688,1.3286814593913236,3.3837687513433785,9.527931596642016,1.764401727563345,2.745596064544422,9.248999699442336
