nspec,timesc,err_lo,err_hi,NSPEC,D_fil,D_along
5,2.344326266677956,1.579516234572142,3.076020946863202,5,5.310776828398276,3.188441374895403
6,0.2728679934390605,0.2466813759840018,0.7586752691702969,6,8.904955152619074,3.599221187804294
8,2.182234947472063,1.8559604950886897,2.2565940339244257,8,6.835019076844902,5.275969915874445
11,5.820657337362245,4.672556755686302,1.532756837767196,11,3.143346900185526,2.978943362244937
16,1.1584588218180656,0.8760836637075347,0.6486296256796305,16,3.736533826193725,3.276368153202366
17,1.319827098941294,0.7044335600283167,1.6566800829225106,17,5.76867738681594,4.080901668771004
24,2.257064606041638,1.6477929869403063,1.8531833676309968,24,6.026712655373403,6.10790630043436
26,6.650740674919821,4.651229162258187,1.2621421041621987,26,6.3531700056477085,2.588297399088407
27,0.8071034277806337,0.6391919460549698,1.3514650971625746,27,10.94145549357874,2.6528622856347415
28,0.9977622325083652,0.8683294737417513,1.8729009451064336,28,1.5377361638514324,3.3182786856781714
29,0.3767491334182571,0.3242771622281801,0.9965051574396656,29,4.883506804568266,4.02068058841856
30,2.0846772391647037,1.2379729435692202,1.7518568178866412,30,2.8359980779295526,3.69121955959675
35,4.464779565147731,3.4848444480129945,1.1895563323451253,35,12.0916467183404,2.884608046844357
37,4.298805548133959,1.6577845569463836,0.6242769803593724,37,3.269156569073884,2.9146827797758292
41,3.9797328499110014,2.126829313820965,0.8847345072426815,41,4.233385988478872,3.9368939348593535
47,7.348189784499061,2.318024456769036,0.7198424576253242,47,6.536514335262558,2.7543660099099068
48,7.51450884869597,4.745631013140125,2.049546714738904,48,9.449925405066894,2.8247781143650337
49,1.69096340095901,1.337925142520401,1.2060508127992478,49,14.223654564761215,2.2534041447505815
51,3.14525834510574,2.6142478042753865,1.3854012221791212,51,3.3069749895766787,2.3017584680364576
55,0.9313074341905568,0.7004349660940292,1.5705753394314117,55,5.721715008114532,2.721469519199187
58,2.580165081701834,1.882693930492234,1.6825133829365484,58,7.3424721214532385,3.486400431602765
59,1.554806498815931,1.269056186345666,2.089108318923089,59,12.226458372122673,3.003328720174743
64,1.5120408448309917,1.2303724423395108,1.0666517780984552,64,6.717665960786201,2.9663421000940344
65,1.1520153694938582,0.7952210367149082,2.327120138403316,65,4.2581355775558,2.617695359828361
71,3.5444231796788817,2.7767731959420408,2.0712599895603745,71,6.91423127829268,3.504761248507797
75,3.698343993735927,2.0603541233798266,0.8851828176281726,75,2.012883351728522,4.5166522689835595
77,0.3345661243398456,0.2823544128774804,0.9145205827303168,77,3.5277521619959926,2.3511565958660583
80,4.329777652654329,2.6348036755613373,1.7665284942188162,80,3.082063869848246,4.03067794592455
81,5.983136345876279,4.545667450439311,2.0691638597432043,81,6.911311248147621,4.597704929558667
85,6.931991683122593,4.873965341274596,1.3029377913533209,85,6.883730655297561,3.0461983028501183
92,0.8879571772502934,0.718814220387707,1.863139273004793,92,4.320720790335883,3.927569139510296
93,5.487736812032783,2.6499152381230173,1.4430994166418856,93,5.326909217182112,2.4473778231058025
94,3.668680654118933,2.986045919350424,1.9354135199796136,94,6.493663160812948,4.180218643331697
95,0.8018825338186555,0.6801753453481845,1.0792733690951548,95,5.074504813147592,2.180615721925598
107,0.9305292959629412,0.6812344871079112,1.993690578865932,107,7.893278836318768,6.002834676378436
109,1.186339461328232,0.8616694966003093,3.044819421398298,109,16.225516217269345,4.927097269694858
131,6.902250320965856,4.641387722541876,1.2969208833412695,131,10.805756780093867,3.798760797217161
133,6.525228829126751,3.334039012681252,1.490275216548203,133,10.506520638850187,2.8164304179727697
135,1.21395365311556,0.8395680268570445,1.12837890802734,135,2.9135715469130052,3.6443640477188013
143,6.540887591126921,2.953876243110333,1.5385453369846207,143,10.886102146419486,3.6253758558707045
146,6.336523036956535,2.929417271230399,1.3560751837587866,146,1.9504900353427024,5.498712284178378
147,5.8243728505519154,3.401261589667971,1.9386478277664436,147,12.40183200365019,3.822437395046083
174,0.3659697939123028,0.2795736951438787,1.584064065645202,174,0.36868577942074393,6.253320167098148
193,4.135579474671149,3.110103311083237,0.9466345907152904,193,5.972267023141613,2.24199717513852
195,1.084872069394959,0.7841474719045385,1.9633402413790657,195,17.317098968413745,2.3526406404405913
196,0.7641518106991585,0.5784798238422084,1.5082636073162456,196,3.5622821108800333,3.269830211321973
197,2.669900214705775,1.5057456536947535,3.64892669737155,197,16.6113734063624,4.492286009163288
202,1.1906957733398118,0.8199823934640451,1.6471109320695858,202,6.965895898949066,2.6663661623639827
206,0.8213943056732491,0.6525967710166158,1.4715744807449225,206,4.107815864450981,4.187066046574376
213,4.573642034690498,3.692574894505985,2.0804317517718003,213,5.792172281023448,3.0734309854807216
214,5.115668387155618,1.7524868596243066,1.6385447442635712,214,1.7905082366345233,3.292845268124685
216,7.139774721515073,2.548925682772495,1.1602787878659644,216,1.4695092892849935,2.2225226733710572
217,0.3958321336713166,0.334006051428942,0.9811265124968068,217,3.8963577489303387,3.7282868230434527
219,0.9424361913320012,0.7523363630746789,1.2514104601548612,219,3.853199556249771,2.4737818272916883
222,2.0310909222203097,1.6327441779813547,1.9681356912374597,222,2.6359837103555077,2.4776838348905983
224,4.516308598479252,2.905013601664983,1.936755067920206,224,4.96683597891758,3.7373586780783405
229,0.8382380110063172,0.6222880151856165,2.357405186761255,229,5.430651358043869,3.047117542963351
