TARGID,MAG_R,MAG_G,SNR,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL,D_along,D_fil,is_member,nspec,timesc,err_lo,err_hi,t99,err_lo_t99,err_hi_t99,D_along_2D,D_fil_2D,is_member_2D
A2142-2538,18.5488,19.5135,9.647835731506348,239.4519037,26.5164597,239.452,26.5164,3.0,0.0902219,3.188441374895403,4.515748484821371,True,5,2.344326266677956,1.579516234572142,3.076020946863202,6.501546999224899,1.579516234572142,3.076020946863202,3.1391500838979387,1.9115635727239688,False
A2142-2649,19.2129,19.9198,7.643599510192871,239.5912847,26.4329971,239.591,26.433,3.0,0.0854734,3.599221187804293,9.759461644191036,False,6,0.2728679934390605,0.2466813759840018,0.7586752691702969,11.747163909251006,0.2466813759840018,0.7586752691702969,3.7366345782717296,1.5774712050263706,False
A2142-7614,18.8543,19.4835,6.226874828338623,239.9890324,26.1963247,239.989,26.1963,3.0,0.0861621,5.275969915874445,7.698167327138904,False,8,2.182234947472063,1.8559604950886897,2.2565940339244257,12.14648331494857,1.8559604950886897,2.2565940339244257,5.43442016267322,0.6173208635715817,False
A2142-2537,19.4497,20.3764,5.592811584472656,239.4771412,26.5575165,239.477,26.5575,3.0,0.0875949,2.9789433622449364,3.898423444949108,True,11,5.820657337362245,4.672556755686302,1.532756837767196,11.948348726676542,4.672556755686302,1.532756837767196,3.0191455941716727,1.7347291923226753,False
A2142-2648,19.383,20.2359,6.668150424957275,239.6885365,26.5764398,239.689,26.5764,2.0,0.087253,3.2763681532023656,4.581350483906342,True,16,1.1584588218180656,0.8760836637075347,0.6486296256796305,12.403793152971446,0.8760836637075347,0.6486296256796305,3.333351435898571,0.9271411954147837,False
A2142-2766,18.77,19.7173,12.200872421264648,239.7066373,26.3753764,239.707,26.3753,2.0,0.0865622,4.080901668771004,6.617003663472845,True,17,1.319827098941294,0.7044335600283167,1.6566800829225106,11.227316380479577,0.7044335600283167,1.6566800829225106,4.184391171830812,1.2766491005521794,False
A2142-7628,18.4453,19.2092,13.802515029907228,240.0017109,26.0657349,240.002,26.0658,3.0,0.0905921,6.107906300434359,5.170807415741477,True,24,2.257064606041638,1.6477929869403063,1.8531833676309968,12.191899383038962,1.6477929869403063,1.8531833676309968,5.989384651382463,0.8396445695744986,False
A2142-2453,19.6509,20.0094,4.549573421478272,239.448743,26.6331131,239.449,26.6332,3.0,0.0863811,2.5882973990884066,7.1934995704418325,False,26,6.650740674919821,4.651229162258187,1.2621421041621987,10.709323857023518,4.651229162258187,1.2621421041621987,2.6593960184604937,1.6811938177001575,False
A2142-8587,18.9613,19.791,9.210698127746582,239.544911,26.7026441,239.545,26.7026,3.0,0.0922742,2.652862285634741,10.081364821415557,False,27,0.8071034277806337,0.6391919460549698,1.3514650971625746,10.60326127606185,0.6391919460549698,1.3514650971625746,2.5548869193933106,1.1879588987740475,False
A2142-2550,19.3622,20.204,6.671457290649414,239.5836791,26.527825,239.584,26.5278,3.0,0.0882889,3.3182786856781714,2.052739221172399,True,28,0.9977622325083652,0.8683294737417513,1.8729009451064336,4.316902042725618,0.8683294737417513,1.8729009451064336,3.3371218533118663,1.4089218725739328,False
