nspec,timesc,err_lo,err_hi
5,6.300911350164979,1.579516234572142,3.076020946863202
6,6.300911350164979,0.24668137598400186,0.7586752691702969
8,6.300911350164979,1.8559604950886897,2.2565940339244257
11,6.300911350164979,4.672556755686302,1.532756837767196
16,6.300911350164979,0.8760836637075347,0.6486296256796305
17,6.300911350164979,0.7044335600283167,1.6566800829225106
24,6.300911350164979,1.6477929869403063,1.8531833676309972
26,6.300911350164979,4.651229162258187,1.2621421041621987
27,6.300911350164979,0.6391919460549698,1.3514650971625746
28,6.300911350164979,0.8683294737417513,1.8729009451064336
29,6.300911350164979,0.32427716222818015,0.9965051574396657
30,6.300911350164979,1.2379729435692202,1.7518568178866412
35,6.300911350164979,3.4848444480129945,1.1895563323451253
37,6.300911350164979,1.6577845569463836,0.6242769803593724
41,6.300911350164979,2.1268293138209655,0.8847345072426815
47,6.300911350164979,2.3180244567690362,0.7198424576253242
48,6.300911350164979,4.745631013140125,2.049546714738904
49,6.300911350164979,1.337925142520401,1.2060508127992478
51,6.300911350164979,2.6142478042753865,1.3854012221791212
54,6.300911350164979,0.9258301061790828,2.265927368758632
55,6.300911350164979,0.7004349660940292,1.5705753394314117
58,6.300911350164979,1.882693930492234,1.6825133829365484
59,6.300911350164979,1.269056186345666,2.0891083189230892
64,6.300911350164979,1.2303724423395108,1.0666517780984552
65,6.300911350164979,0.7952210367149082,2.327120138403316
71,6.300911350164979,2.7767731959420408,2.0712599895603745
75,6.300911350164979,2.0603541233798266,0.8851828176281726
77,6.300911350164979,0.2823544128774804,0.9145205827303169
80,6.300911350164979,2.6348036755613373,1.7665284942188162
81,6.300911350164979,4.545667450439311,2.0691638597432043
85,6.300911350164979,4.873965341274596,1.3029377913533207
91,6.300911350164979,0.402910357109473,0.7196433736832599
92,6.300911350164979,0.718814220387707,1.8631392730047935
93,6.300911350164979,2.6499152381230173,1.4430994166418856
94,6.300911350164979,2.986045919350424,1.9354135199796136
95,6.300911350164979,0.6801753453481845,1.0792733690951548
101,6.300911350164979,1.545606833967489,2.3701015423925105
107,6.300911350164979,0.6812344871079112,1.993690578865932
