NSPEC,TARGID,MAG_R,SNR,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL
849,A2142-8093,19.1852,6.840087890625,240.6643207,25.7692651,240.664,25.7693,3.0,0.0893627
850,A2142-3262,19.8275,5.496659278869629,240.3559608,26.0417835,240.356,26.0418,3.0,0.0869913
855,A2142-3330,18.8068,11.25439167022705,240.456038,26.0417202,240.456,26.0417,3.0,0.0884489
857,A2142-7997,18.7822,11.269954681396484,240.509781,25.7796349,240.51,25.7796,3.0,0.0902405
858,A2142-7999,18.7037,9.664118766784668,240.5191479,25.7908567,240.519,25.7908,3.0,0.0905226
861,A2142-8098,19.9416,3.8134958744049072,240.7024941,25.7725841,240.703,25.7726,2.0,0.0894204
867,A2142-9368,18.9024,10.307882308959961,240.527763,26.1644982,240.528,26.1645,2.0,0.0884933
874,A2142-9475,19.8447,3.6813151836395264,240.6487682,26.1782757,240.649,26.1783,2.0,0.0877675
915,A2142-3338,19.143,6.011998176574707,240.6041832,26.0655848,240.604,26.0656,3.0,0.0885355
935,A2142-4938,18.977,8.944600105285645,240.9690953,26.2907017,240.969,26.2907,3.0,0.0887089
941,A2142-4116,19.9567,3.7922887802124023,240.5757929,26.4076311,240.576,26.4077,3.0,0.0905582
954,A2142-3258,18.8503,8.54198932647705,240.4613826,26.090692,240.461,26.0906,3.0,0.0895185
