NSPEC,TARGID,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,sep_arcsec,FLAG_Z,Z_FINAL
229,A2142-4314,240.0389174,26.7869579,240.039,26.787,0.3056697893303065,3.0,0.0866451
234,A2142-8887,239.9198686,26.5623141,239.92,26.5624,0.5240718157088793,2.0,0.0923263
235,A2142-2912,240.0362243,26.4177509,240.036,26.4178,0.7444470842060303,3.0,0.0878318
236,A2142-8880,239.9511257,26.5083609,239.951,26.5084,0.4287129225817792,3.0,0.0870538
237,A2142-2916,240.0319358,26.338716,240.032,26.3388,0.3665340353271706,3.0,0.0885789
238,A2142-4212,239.9594856,26.9215064,239.96,26.9215,1.6513125205425618,2.0,0.0915392
241,A2142-9149,240.2047727,26.5184204,240.205,26.5185,0.7862681982833944,3.0,0.0869122
246,A2142-3012,240.1248642,26.3187293,240.125,26.3188,0.5067569259512502,3.0,0.0849763
250,A2142-9038,240.1529728,26.4628827,240.153,26.4629,0.107531940318509,3.0,0.0929655
252,A2142-10005,240.1689291,26.917238,240.169,26.9172,0.2655379350840709,3.0,0.0892581
257,A2142-10010,240.2799298,26.9661622,240.28,26.9662,0.2631579528336354,3.0,0.0899971
274,A2142-9996,240.1646015,26.9895979,240.165,26.9896,1.278378523851727,2.0,0.0907573
275,A2142-4316,240.0792715,26.7942788,240.079,26.7943,0.8757890603394503,3.0,0.0894629
276,A2142-4320,240.1110305,26.8256243,240.111,26.8257,0.2895996609981175,3.0,0.0917494
287,A2142-4583,240.2316785,26.6169809,240.232,26.617,1.0370224751550974,3.0,0.0878083
296,A2142-345,239.4449475,25.6608597,239.445,25.6608,0.2742498544972409,3.0,0.0891342
305,A2142-569,239.7242179,25.5679283,239.724,25.5679,0.7149196718619851,3.0,0.0908307
309,A2142-1569,239.9777473,25.8245663,239.978,25.8246,0.827806381226312,3.0,0.0916255
337,A2142-7632,240.0208079,26.0293749,240.021,26.0294,0.6279497038839503,3.0,0.0907882
344,A2142-7720,240.0499594,26.0239043,240.05,26.0239,0.1322500962656025,3.0,0.0904371
354,A2142-7623,239.9248138,26.0143225,239.925,26.0143,0.6078274762477123,3.0,0.0880992
363,A2142-354,239.5466383,25.6937037,239.547,25.6937,1.1734480761995751,3.0,0.0894688
378,A2142-6360,239.6900289,25.7990718,239.69,25.7991,0.1381316697771411,3.0,0.0896379
389,A2142-7825,240.2421773,25.819822,240.242,25.8199,0.6395051518228033,3.0,0.0886416
390,A2142-1674,240.1636111,25.7712627,240.164,25.7712,1.2808341510896897,3.0,0.0886133
392,A2142-1678,240.2077462,25.7264999,240.208,25.7266,0.8985395297224943,3.0,0.0890102
394,A2142-1670,240.1384345,25.7728635,240.138,25.7728,1.4270303141734006,2.0,0.0888002
396,A2142-1768,240.2955273,25.5737572,240.296,25.5738,1.542716504884114,3.0,0.0878342
397,A2142-7820,240.1950323,25.8540617,240.195,25.8541,0.1730915533769402,3.0,0.0882168
399,A2142-1765,240.2871462,25.7567606,240.287,25.7568,0.4947944449858825,3.0,0.0875952
401,A2142-1683,240.1908957,25.6896195,240.191,25.6896,0.3455713206634208,3.0,0.0900305
403,A2142-920,240.2444666,25.170952,240.244,25.171,1.5300435482639627,3.0,0.0872964
410,A2142-1866,240.3284743,25.5984293,240.329,25.5985,1.7256312809331305,3.0,0.088263
430,A2142-789,240.0870479,25.3398021,240.087,25.3398,0.1560320199421187,3.0,0.0899765
436,A2142-6660,240.1537645,25.4957512,240.154,25.4958,0.7851456867024984,3.0,0.0894019
437,A2142-745,240.0598357,25.2757233,240.06,25.2757,0.5413912610169278,3.0,0.0897371
444,A2142-824,240.2189509,25.3269276,240.219,25.3269,0.188145964857574,3.0,0.088449
449,A2142-909,240.2535732,25.1158955,240.254,25.1159,1.3913017659837308,3.0,0.0829264
464,A2142-1961,240.4735782,25.4765149,240.474,25.4765,1.3718746854195902,2.0,0.0877874
465,A2142-7038,240.6804204,25.2360405,240.68,25.236,1.3767381332479909,3.0,0.0858388
467,A2142-6925,240.5884565,25.2989947,240.588,25.299,1.4859040572219964,3.0,0.0878522
486,A2142-1666,240.0767659,25.778105,240.077,25.7782,0.8323951941511427,3.0,0.0907815
490,A2142-1669,240.1438762,25.8094516,240.144,25.8094,0.4421379810382064,3.0,0.0914741
492,A2142-5654,239.5545242,25.2269637,239.554,25.2269,1.7224727694310826,3.0,0.0882149
493,A2142-6584,240.1351124,25.617609,240.135,25.6176,0.3662995152838241,3.0,0.0898434
498,A2142-1566,239.9944041,25.9054394,239.994,25.9054,1.316245292763352,3.0,0.0901555
502,A2142-1,239.512662,25.2294763,239.513,25.2294,1.1344820492648913,3.0,0.0882957
511,A2142-5762,239.8047242,25.1734653,239.805,25.1735,0.90722183454302,3.0,0.0892969
514,A2142-5769,239.7118951,25.1649825,239.712,25.1649,0.4528071701165046,3.0,0.0903423
536,A2142-6507,239.9150217,25.5804651,239.915,25.5804,0.2447235153464916,3.0,0.0893233
537,A2142-6502,239.8654606,25.680102,239.865,25.6802,1.5354595788718437,3.0,0.089066
570,A2142-6589,240.0556319,25.6398341,240.056,25.6398,1.2009647968720107,3.0,0.0904769
585,A2142-2269,240.8172555,25.2851825,240.817,25.2852,0.8340594286680864,3.0,0.0878312
588,A2142-7826,240.2746948,25.8491017,240.275,25.8491,0.9888070154469396,3.0,0.0898137
595,A2142-1871,240.4514414,25.6501542,240.451,25.6502,1.441904047253828,3.0,0.0900707
601,A2142-7924,240.4305927,25.7786833,240.431,25.7787,1.3217246709174908,3.0,0.0875239
602,A2142-2078,240.7434533,25.4857955,240.743,25.4858,1.473174047684917,2.0,0.0890844
604,A2142-6917,240.589687,25.322226,240.59,25.3223,1.0527955599611036,3.0,0.0848711
612,A2142-2295,240.8457518,25.2543842,240.846,25.2544,0.8101188358286491,3.0,0.0884451
615,A2142-1966,240.5025451,25.456714,240.503,25.4567,1.4795007625398575,2.0,0.0869069
616,A2142-1956,240.5411746,25.4008095,240.541,25.4009,0.6546284462689181,3.0,0.0907181
619,A2142-2220,240.7105087,25.3010936,240.711,25.3011,1.5991842357036177,3.0,0.0875437
621,A2142-8111,240.7147621,25.583096,240.715,25.5831,0.7726087863944059,3.0,0.0886222
623,A2142-2280,240.8663012,25.2631215,240.866,25.2632,1.0205212886949997,3.0,0.0885018
629,A2142-8369,240.9723508,25.56218,240.972,25.5622,1.141538988647739,3.0,0.0929297
647,A2142-8522,241.0579593,25.472393,241.058,25.4724,0.1346561906971182,3.0,0.0887289
652,A2142-1973,240.5939515,25.5492662,240.594,25.5493,0.1990494320157538,3.0,0.0897993
659,A2142-8245,240.7978686,25.5050865,240.798,25.5051,0.429698079166468,3.0,0.0881822
665,A2142-2244,240.8529564,25.4233059,240.853,25.4233,0.1433424829124514,3.0,0.087675
666,A2142-2276,240.8914922,25.3801867,240.891,25.3801,1.6310436769471284,3.0,0.0888561
668,A2142-8507,241.0044636,25.3918232,241.005,25.3918,1.7464931116906737,2.0,0.0870219
672,A2142-8118,240.7226411,25.6280591,240.723,25.628,1.1842000522352254,2.0,0.0900257
673,A2142-3239,240.3485638,26.1161491,240.349,26.1161,1.4210324903471514,3.0,0.0888365
674,A2142-9357,240.5222347,26.2956632,240.522,26.2957,0.7689852442669343,3.0,0.0888597
676,A2142-3225,240.3933119,26.1270347,240.393,26.1271,1.0351540737571483,3.0,0.0865604
678,A2142-9392,240.6013429,26.2942762,240.601,26.2943,1.1100248800674202,3.0,0.0887141
679,A2142-4800,240.7205783,26.3711984,240.721,26.3712,1.3601492682576068,2.0,0.0879074
686,A2142-5319,240.9369445,26.7424978,240.937,26.7425,0.1786046525214774,3.0,0.0857479
688,A2142-4693,240.5051338,26.6037494,240.505,26.6038,0.4676208434661143,3.0,0.0896447
691,A2142-7819,240.239976,25.9332487,240.24,25.9332,0.1917664622469715,3.0,0.0889188
696,A2142-5328,240.926812,26.751644,240.927,26.7516,0.6247727549026985,3.0,0.0854801
700,A2142-10451,240.7184863,26.6326878,240.718,26.6327,1.5655465775718065,3.0,0.0910177
701,A2142-9269,240.3450415,26.2776321,240.345,26.2776,0.1769170498113227,3.0,0.0891909
704,A2142-3231,240.2882128,26.1100525,240.288,26.11,0.7133933913841103,3.0,0.0861097
705,A2142-4029,240.5737268,26.5357708,240.574,26.5358,0.886168497090977,3.0,0.0894004
709,A2142-3140,240.3553092,26.2177075,240.355,26.2178,1.0526627018955272,2.0,0.0892394
710,A2142-10354,240.6399942,26.7094743,240.64,26.7095,0.0943814019254218,3.0,0.0899149
712,A2142-3235,240.3704817,26.1798219,240.37,26.1798,1.558219147979674,3.0,0.0890837
715,A2142-10478,240.7668131,26.6822657,240.767,26.6823,0.6137394215220988,3.0,0.0920675
722,A2142-9155,240.1649737,26.4152613,240.165,26.4153,0.1630957189777857,3.0,0.0901739
738,A2142-9158,240.2119386,26.4185755,240.212,26.4185,0.3362468498045536,3.0,0.0899513
744,A2142-5268,240.7875548,26.8036867,240.788,26.8037,1.4313196150291372,2.0,0.0922163
745,A2142-9265,240.3203804,26.3019613,240.32,26.302,1.2355433986284683,3.0,0.0912964
755,A2142-3135,240.3175405,26.1984257,240.317,26.1984,1.7483588445260456,3.0,0.0903379
758,A2142-10091,240.3445309,26.8920637,240.345,26.8921,1.5117961664627289,3.0,0.0913279
759,A2142-3118,240.2492472,26.1679087,240.249,26.1679,0.7993219832611562,3.0,0.0882171
762,A2142-3030,240.1824857,26.2575857,240.183,26.2576,1.6612312596420804,3.0,0.0911516
763,A2142-4689,240.430855,26.5084053,240.431,26.5084,0.4675110812795156,3.0,0.0907849
764,A2142-9166,240.2341597,26.3108863,240.234,26.3109,0.5177141270456211,3.0,0.0923103
768,A2142-4593,240.3117982,26.6917387,240.312,26.6918,0.685552966240385,3.0,0.0875917
796,A2142-3767,241.0323379,25.7401362,241.032,25.7401,1.1034590040046546,2.0,0.0885233
808,A2142-8130,240.7333523,25.6894085,240.733,25.6894,1.1433292188897493,2.0,0.0905023
814,A2142-7995,240.5191892,25.8151946,240.519,25.8152,0.613454568377179,3.0,0.0868515
817,A2142-7922,240.459602,25.8888805,240.46,25.8889,1.2909178629501,3.0,0.0879221
818,A2142-7918,240.4306162,25.9195984,240.431,25.9196,1.2427078217952938,3.0,0.0873608
836,A2142-3251,240.3838637,26.0595369,240.384,26.0596,0.4958862016767542,3.0,0.0887601
849,A2142-8093,240.6643207,25.7692651,240.664,25.7693,1.0472690476912354,3.0,0.0893627
850,A2142-3262,240.3559608,26.0417835,240.356,26.0418,0.1400169217717058,3.0,0.0869913
855,A2142-3330,240.456038,26.0417202,240.456,26.0417,0.1428124472894348,3.0,0.0884489
857,A2142-7997,240.509781,25.7796349,240.51,25.7796,0.7209651590131192,3.0,0.0902405
858,A2142-7999,240.5191479,25.7908567,240.519,25.7908,0.5210489745875398,3.0,0.0905226
861,A2142-8098,240.7024941,25.7725841,240.703,25.7726,1.6410741055972298,2.0,0.0894204
867,A2142-9368,240.527763,26.1644982,240.528,26.1645,0.7658015122226182,2.0,0.0884933
874,A2142-9475,240.6487682,26.1782757,240.649,26.1783,0.7539758517591446,2.0,0.0877675
902,A2142-5031,241.0560274,26.123946,241.056,26.1239,0.1877946230178341,3.0,0.0834146
915,A2142-3338,240.6041832,26.0655848,240.604,26.0656,0.5949629825963246,3.0,0.0885355
935,A2142-4938,240.9690953,26.2907017,240.969,26.2907,0.3076521090123915,3.0,0.0887089
941,A2142-4116,240.5757929,26.4076311,240.576,26.4077,0.7123416325189867,3.0,0.0905582
954,A2142-3258,240.4613826,26.090692,240.461,26.0906,1.2805771004406468,3.0,0.0895185
