nspec,t90,t90_err_lo,t90_err_hi,t99,t99_err_lo,t99_err_hi
5,4.236379530443663,1.1768186624206622,1.1324678495897524,6.501546999224899,1.1398909807624245,2.8334971329766754
6,11.294612144792254,2.0015933316718293,0.6287372063198902,11.747163909251006,1.3522265575041281,0.536400113160008
8,9.021983414732373,1.300219309530962,2.524908424406169,12.14648331494857,1.375602790761917,0.38488781538700145
11,6.051583158096556,1.02090059653323,3.1705957588957405,11.948348726676542,1.1523616685557734,0.5399566975682824
16,11.122659816565937,0.5985327699039455,0.742837474323558,12.403793152971446,0.6298501416516018,0.14358465410235333
17,9.570510814910357,1.9979448044678643,1.192575673682029,11.227316380479575,1.265619231419306,0.6949273318865501
24,9.477883501701719,1.9242112329450567,1.7018543045269006,12.191899383038962,1.163336328332937,0.2836931632544122
26,3.8387633485659873,0.6446412893844387,1.5161670286849183,10.709323857023518,3.2354004033889554,0.9894287756868199
27,9.60428814359324,1.7979396518580009,1.4275745195297027,10.60326127606185,1.3469559080134523,1.330068747589742
28,3.235320811482487,0.44322580334617,1.6923752287253695,4.316902042725618,1.2590342828263257,2.981719187174482
29,2.877771980284403,0.45960450325057955,1.4533635937845197,3.358985743503273,0.7452708086084754,2.064051365793966
30,8.682730691567498,1.3660468894871727,1.310902367444072,10.955874926505764,0.9073968171331916,1.1345893986636568
35,7.439996180343331,1.1999548291465771,2.498505888249558,12.143500927799561,1.5675324116442884,0.376019922493688
37,7.848006561855734,0.7439498986157984,1.289187338700713,12.138460571562963,0.7388006974049137,0.3437594897869136
41,7.885838571822321,0.5638852342320257,1.4609933737812142,12.145567899631107,1.0406546117905364,0.34260918424947917
47,4.8395671527820685,1.1970494388408954,1.8453652101301454,12.224692559524522,1.1224437948314865,0.26861876774087
48,3.718537026600607,1.1687294029594915,3.6213929200653907,11.773311748801376,1.765030299349755,0.6062188053445006
49,9.661165125907647,0.9132548619424483,1.4600502225794738,11.932589852455328,1.3057605099249514,0.4458836777360293
51,8.65176564522999,1.330422316756101,2.126719611423436,11.989747796189622,1.3908037518190888,0.5110762624673271
54,9.619825692693858,2.589757291065598,0.923368319669839,12.298928010573366,0.5169960756986018,0.13972570829490039
55,6.1911232416012965,0.4546950935711962,1.0461339253296016,7.144039678439861,0.6053486464638445,2.4554564947085575
58,9.484387570972302,1.6994435872113165,1.6386494108651135,12.170932403969463,0.8651373388696939,0.3170210884729485
59,7.5277268510621616,1.403617272116806,2.1864066469548833,9.730043828156333,2.401786476976442,2.5239788991872842
64,10.148600317507116,1.3612850977382074,0.7814444923093689,11.918175111190287,1.8749172524418167,0.520198336675934
65,6.411194466620429,1.129265297760317,2.3062833059455743,8.175317306636275,1.6743422403142185,3.3949709577644853
71,4.049324326425039,1.25444430147535,2.295423522343069,7.405628535558379,1.5413824110738936,3.040036146875056
75,8.341697451921847,1.2386507493801107,1.6870560610669294,12.139631189608066,1.1277330591094241,0.32168126517309936
77,6.996665902543917,1.1253427195101944,2.272530583640677,7.524200763509396,1.2500406499401935,3.0385790281600054
80,7.023345569142851,1.1808113688756041,2.246059483545011,11.944564230165398,1.2372463158544775,0.48524950524680044
81,5.281574791458438,1.185904378153393,3.248029376255377,11.650901305153353,2.494438703107699,0.7941216285953558
85,5.111951106582187,0.9634050179440781,3.4712343384465525,12.238080572076939,1.2048588006422705,0.2616498007486481
91,11.450727834754378,1.5121027588408822,0.6057816330397188,12.141663095804741,1.1789561325776425,0.27836194460398644
92,10.023299279686313,1.6901474684427171,1.0845576150864673,11.571391108677005,1.5821540070969107,0.6220174385242689
93,6.344099963482071,1.2818279959081593,2.1630078743548804,12.188205505060347,1.2833319688590183,0.33744236149286877
94,7.123524610843345,1.6657470773756415,2.83568657127444,11.114281226897251,1.4417246605953373,1.011154006509118
95,4.61137286465125,1.3946539785379652,4.004090535119549,5.568399978837053,1.078418242696829,4.217250416029963
101,7.978659002378614,1.2251920733194543,2.178919944401655,10.534166445124212,1.7599785510659842,1.5069999988704552
107,9.82277360626194,1.9361278908178727,0.8797136518150914,11.290817473846353,1.3906456837479535,0.8799201924034961
109,9.673205148803278,2.966922667186461,1.404850688617966,11.4148617615584,1.3408319283120438,0.8775430040622787
131,4.76246637920209,1.1154380081407966,1.6936796637192728,12.225718347449119,2.614845373526327,0.25618806596103383
133,4.780343432104569,1.0664332167867712,1.4691649592066014,11.499447708996193,2.652187754169878,0.954433389254838
135,10.94155656386186,1.1591893223650036,0.6771744303772795,12.286633029581997,0.5589640750358793,0.23216193224622295
143,4.534251991947132,1.0751527013581805,2.751468789333626,11.573451614059026,1.5831924627594933,0.6136174376818495
146,5.2128113715381055,0.9822430504570896,2.02852374542805,12.02046304861561,1.826691121923929,0.48887434715641476
147,5.48840971352819,1.2730570439440774,1.7980181620613518,11.6968005812177,1.5119629133369,0.6337518033230598
174,4.495268035786711,1.1532411315231297,0.9400512577793556,4.824011650620768,0.5133290735769096,1.68936416621173
193,7.858395595842443,0.9012463630212846,1.7526720595518048,12.057549113563198,1.4142516256607216,0.4326153946386775
195,6.822925429099218,1.8942646227844184,1.0858130553509193,7.881050740542687,0.8005484234301612,1.9347864365911622
