NSPEC,TARGID,MAG_R,MAG_G,SNR_RED,SNR_BLUE,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL
196,A2142-8754,19.8956,20.5644,3.4209930896759038,1.457506537437439,239.881285,26.6876629,239.881,26.6877,3.0,0.0897412
197,A2142-9026,18.9603,19.9174,9.967796325683594,3.460296630859375,240.0426794,26.5148298,240.043,26.5149,3.0,0.094273
202,A2142-8707,18.6834,19.6855,13.570667266845703,4.806673049926758,239.7820424,26.7626213,239.782,26.7626,3.0,0.0860944
206,A2142-9015,19.1708,19.9796,8.517729759216309,3.1617393493652344,240.0214666,26.5300994,240.021,26.5301,2.0,0.0899332
213,A2142-8739,19.9974,20.835,5.540243148803711,1.9890384674072263,239.8826354,26.7422867,239.883,26.7423,2.0,0.0905128
214,A2142-8732,17.7409,18.7224,17.980850219726562,7.303860187530518,239.8667652,26.6589415,239.867,26.6589,3.0,0.0878883
217,A2142-4456,18.013,19.0139,19.01760482788086,7.25830078125,240.1015275,26.6764482,240.102,26.6764,3.0,0.0898314
222,A2142-4216,19.6477,20.3846,3.928624391555786,1.672119140625,239.9975793,26.9301887,239.998,26.9302,3.0,0.089359
224,A2142-8858,19.9147,20.499,6.263425827026367,3.154930591583252,239.9333552,26.6023325,239.933,26.6024,2.0,0.0902301
229,A2142-4314,19.5226,20.3601,5.527640342712402,2.303642749786377,240.0389174,26.7869579,240.039,26.787,3.0,0.0866451
234,A2142-8887,19.2888,20.4409,7.366325855255127,2.2545900344848637,239.9198686,26.5623141,239.92,26.5624,2.0,0.0923263
235,A2142-2912,19.8268,20.844,3.341545581817627,1.1125779151916504,240.0362243,26.4177509,240.036,26.4178,3.0,0.0878318
236,A2142-8880,19.3174,20.2233,7.1078290939331055,2.778945207595825,239.9511257,26.5083609,239.951,26.5084,3.0,0.0870538
238,A2142-4212,18.3012,19.2263,11.449847221374512,4.6149773597717285,239.9594856,26.9215064,239.96,26.9215,2.0,0.0915392
241,A2142-9149,19.3204,19.7599,4.307015419006348,2.2955892086029053,240.2047727,26.5184204,240.205,26.5185,3.0,0.0869122
246,A2142-3012,19.3695,20.2327,7.510090351104736,3.1524229049682617,240.1248642,26.3187293,240.125,26.3188,3.0,0.0849763
250,A2142-9038,19.7825,20.0609,3.967118501663208,2.645263195037842,240.1529728,26.4628827,240.153,26.4629,3.0,0.0929655
257,A2142-10010,18.9072,19.7862,6.372417449951172,2.47874116897583,240.2799298,26.9661622,240.28,26.9662,3.0,0.0899971
274,A2142-9996,18.0663,19.0324,12.988445281982422,5.708209991455078,240.1646015,26.9895979,240.165,26.9896,2.0,0.0907573
275,A2142-4316,18.4774,19.3991,9.484403610229492,3.620331525802612,240.0792715,26.7942788,240.079,26.7943,3.0,0.0894629
276,A2142-4320,18.8888,19.7796,5.301334381103516,2.11673641204834,240.1110305,26.8256243,240.111,26.8257,3.0,0.0917494
287,A2142-4583,19.0083,19.7762,8.648746490478516,3.6526808738708496,240.2316785,26.6169809,240.232,26.617,3.0,0.0878083
296,A2142-345,17.8323,18.8906,16.328292846679688,6.2003173828125,239.4449475,25.6608597,239.445,25.6608,3.0,0.0891342
305,A2142-569,19.1289,19.8036,7.483314514160156,3.2374117374420166,239.7242179,25.5679283,239.724,25.5679,3.0,0.0908307
309,A2142-1569,19.6875,20.3727,4.064074993133545,1.7564029693603516,239.9777473,25.8245663,239.978,25.8246,3.0,0.0916255
337,A2142-7632,17.9554,18.7255,13.446866035461426,6.383941650390625,240.0208079,26.0293749,240.021,26.0294,3.0,0.0907882
344,A2142-7720,18.1499,19.194,15.107673645019531,5.5502142906188965,240.0499594,26.0239043,240.05,26.0239,3.0,0.0904371
354,A2142-7623,17.7057,18.6527,19.202001571655277,8.129541397094727,239.9248138,26.0143225,239.925,26.0143,3.0,0.0880992
363,A2142-354,19.3209,20.08,5.1424431800842285,1.957147479057312,239.5466383,25.6937037,239.547,25.6937,3.0,0.0894688
389,A2142-7825,18.7491,19.6555,7.477048397064209,2.746151924133301,240.2421773,25.819822,240.242,25.8199,3.0,0.0886416
390,A2142-1674,19.1539,19.7465,5.247156143188477,2.4787302017211914,240.1636111,25.7712627,240.164,25.7712,3.0,0.0886133
