TARGID,MAG_R,MAG_G,SNR_RED,SNR_BLUE,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL,nspec,timesc,err_lo,err_hi,t99,err_lo_t99,err_hi_t99,m_star,err_lo_m,err_hi_m,D_along,D_fil,is_member,D_along_2D,D_fil_2D,is_member_2D
A2142-6589,19.7429,20.4208,4.106797218322754,1.6777760982513428,240.0556319,25.6398341,240.056,25.6398,3.0,0.0904769,570,7.813653496355334,2.251739436606359,1.2129872264248824,11.99781903781296,1.385927744643908,0.457606476428495,11.99781903781296,1.385927744643908,0.457606476428495,7.96754791135577,4.960991596282359,True,7.822694763783775,1.5188862385229074,False
A2142-2269,18.9781,19.8851,8.372122764587402,3.1153011322021484,240.8172555,25.2851825,240.817,25.2852,3.0,0.0878312,585,8.542458965739776,4.055608888118325,1.559457956439715,11.541457884863943,1.556132751321984,0.7387153649411307,11.541457884863943,1.556132751321984,0.7387153649411307,10.557137607651253,3.0652122371549413,True,10.671366072709812,0.6072188167161757,False
A2142-7826,18.239,19.241,13.528054237365724,4.922892093658447,240.2746948,25.8491017,240.275,25.8491,3.0,0.0898137,588,0.6284659276419777,0.5114631096862379,1.879465184641652,7.954129749366621,1.2780181914710154,2.836296703726512,7.954129749366621,1.2780181914710154,2.836296703726512,7.457441170983568,2.8345271305167077,True,7.3748767840049805,0.2997920842901635,True
A2142-1871,18.8911,19.7802,7.835700035095215,2.688659429550171,240.4514414,25.6501542,240.451,25.6502,3.0,0.0900707,595,2.930968815214384,2.179502671063024,0.6548698307573391,5.267426162685897,0.9513014660020652,0.8552470577106952,5.267426162685897,0.9513014660020652,0.8552470577106952,8.630355107573406,3.5268000660964103,True,8.510922381375055,0.14390532479314658,True
A2142-7924,18.3121,19.2724,12.984380722045898,5.145316123962402,240.4305927,25.7786833,240.431,25.7787,3.0,0.0875239,601,10.178891647416524,4.080439938414349,1.131795126452971,11.2705069764334,2.158916919401213,0.3818485301970238,11.2705069764334,2.158916919401213,0.3818485301970238,7.836550687866175,3.8068476980423873,True,7.948630369991886,0.19049902028645463,True
A2142-2078,19.5212,20.3937,4.983202934265137,1.6951357126235962,240.7434533,25.4857955,240.743,25.4858,2.0,0.0890844,602,0.3305917899476842,0.2922236400336979,1.2135761769025264,7.606457238497824,1.2131773843541165,1.9659674820321031,7.606457238497824,1.2131773843541165,1.9659674820321031,9.747917115108619,0.9504601058480046,True,9.717390523285564,0.7248109157772943,False
A2142-6917,17.8422,18.7774,15.171279907226562,6.332125186920166,240.589687,25.322226,240.59,25.3223,3.0,0.0848711,604,3.240757926987177,2.3489871160035243,1.1790339611236638,12.211553661974392,0.7926843361211979,0.2933801900324724,12.211553661974392,0.7926843361211979,0.2933801900324724,9.663430890056555,11.540160104616215,False,10.10226003885949,0.2782666749601915,True
A2142-2295,20.0544,20.9414,3.2370946407318115,1.0090534687042236,240.8457518,25.2543842,240.846,25.2544,3.0,0.0884451,612,4.102814632047695,3.2320999941866075,1.7889125503340342,11.613480079979034,2.6109773031473864,0.7757635043108344,11.613480079979034,2.6109773031473864,0.7757635043108344,10.806771639392107,1.3892812785821795,True,10.849308843535898,0.6498336767246206,False
A2142-1966,17.5717,18.7033,17.535964965820312,5.838323593139648,240.5025451,25.456714,240.503,25.4567,2.0,0.0869069,615,0.255865366531296,0.2230826022525054,0.8103665624304384,10.462805374375822,0.6621423848808394,1.1062660612253197,10.462805374375822,0.6621423848808394,1.1062660612253197,9.197026045576525,5.637792836082018,True,9.393548744827367,0.29780634266820954,True
A2142-1956,19.848,20.7219,4.072240352630615,1.2195217609405518,240.5411746,25.4008095,240.541,25.4009,3.0,0.0907181,616,5.966430246595731,4.2444713498276485,1.6884879007311948,9.118303137581972,2.6878113418029663,2.3624782415449808,9.118303137581972,2.6878113418029663,2.3624782415449808,9.897849041311177,5.355588332018403,True,9.69256693198367,0.28176789842057737,True
A2142-2220,19.2304,20.0938,7.079614639282227,2.289761543273926,240.7105087,25.3010936,240.711,25.3011,3.0,0.0875437,619,0.8455513283736567,0.6088529187650482,1.0108288469860227,5.9120765158020925,0.4817332923490793,1.598944152720244,5.9120765158020925,0.4817332923490793,1.598944152720244,10.266036481022848,3.837602544559448,True,10.410552201848672,0.2915066857261525,True
A2142-8111,19.461,20.394,4.265296936035156,1.3171181678771973,240.7147621,25.583096,240.715,25.5831,3.0,0.0886222,621,2.652042199174325,2.0183627940862703,2.638114934570898,11.761637044939496,1.760684939778809,0.6083907240706985,11.761637044939496,1.760684939778809,0.6083907240706985,9.24957008576378,1.0430670772404107,True,9.267773418877951,0.8108301832107278,False
A2142-2280,19.8288,20.6307,2.2740702629089355,0.5592659711837769,240.8663012,25.2631215,240.866,25.2632,3.0,0.0885018,623,0.8686030233122519,0.7793043268603581,2.712258711958137,7.150887089208345,2.46754382369894,3.436625024074152,7.150887089208345,2.46754382369894,3.436625024074152,10.81556259881047,1.2927731687127755,True,10.851310059879248,0.7384465090772033,False
A2142-8369,19.1491,19.4843,3.973153829574585,2.582214832305908,240.9723508,25.56218,240.972,25.5622,3.0,0.0929297,629,0.462351967164971,0.3748835283318257,0.8400940268942201,12.302130862233565,0.6641510963992729,0.166804234473858,12.302130862233565,0.6641510963992729,0.166804234473858,10.271903748996117,11.845709802100007,False,9.82414886123501,1.7110236750856387,False
A2142-8522,20.3835,21.0668,2.689237356185913,1.1138079166412354,241.0579593,25.472393,241.058,25.4724,3.0,0.0887289,647,4.296943418416193,3.071896597748566,1.68423223110603,12.273920170708086,0.6786368399297515,0.2527060068008815,12.273920170708086,0.6786368399297515,0.2527060068008815,10.338950458977369,1.8797479240216706,True,10.347077280688765,1.8466129979517978,False
A2142-1973,18.0398,19.032,12.017318725585938,4.092541217803955,240.5939515,25.5492662,240.594,25.5493,3.0,0.0897993,652,0.7854904295348826,0.6471154008042488,1.250852958574737,7.950687941897105,1.1350095744525015,3.344047666331033,7.950687941897105,1.1350095744525015,3.344047666331033,9.285547592809758,2.7354142992057655,True,9.184187599800799,0.3233220586389533,True
