nspec,timesc,err_lo,err_hi,t99,err_lo_t99,err_hi_t99,m_star,err_lo_m,err_hi_m
5,2.344326266677956,1.579516234572142,3.076020946863202,6.501546999224899,1.1398909807624245,2.8334971329766754,6.501546999224899,1.1398909807624245,2.8334971329766754
6,0.27286799343906054,0.24668137598400186,0.7586752691702969,11.747163909251006,1.3522265575041281,0.536400113160008,11.747163909251006,1.3522265575041281,0.536400113160008
8,2.182234947472063,1.8559604950886897,2.2565940339244257,12.14648331494857,1.375602790761917,0.38488781538700145,12.14648331494857,1.375602790761917,0.38488781538700145
11,5.820657337362245,4.672556755686302,1.532756837767196,11.948348726676542,1.1523616685557734,0.5399566975682824,11.948348726676542,1.1523616685557734,0.5399566975682824
16,1.1584588218180656,0.8760836637075347,0.6486296256796305,12.403793152971446,0.6298501416516018,0.14358465410235333,12.403793152971446,0.6298501416516018,0.14358465410235333
17,1.3198270989412941,0.7044335600283167,1.6566800829225106,11.227316380479575,1.265619231419306,0.6949273318865501,11.227316380479575,1.265619231419306,0.6949273318865501
24,2.257064606041638,1.6477929869403063,1.8531833676309972,12.191899383038962,1.163336328332937,0.2836931632544122,12.191899383038962,1.163336328332937,0.2836931632544122
26,6.650740674919821,4.651229162258187,1.2621421041621987,10.709323857023518,3.2354004033889554,0.9894287756868199,10.709323857023518,3.2354004033889554,0.9894287756868199
27,0.8071034277806337,0.6391919460549698,1.3514650971625746,10.60326127606185,1.3469559080134523,1.330068747589742,10.60326127606185,1.3469559080134523,1.330068747589742
28,0.9977622325083653,0.8683294737417513,1.8729009451064336,4.316902042725618,1.2590342828263257,2.981719187174482,4.316902042725618,1.2590342828263257,2.981719187174482
29,0.3767491334182571,0.32427716222818015,0.9965051574396657,3.358985743503273,0.7452708086084754,2.064051365793966,3.358985743503273,0.7452708086084754,2.064051365793966
30,2.0846772391647033,1.2379729435692202,1.7518568178866412,10.955874926505764,0.9073968171331916,1.1345893986636568,10.955874926505764,0.9073968171331916,1.1345893986636568
35,4.464779565147731,3.4848444480129945,1.1895563323451253,12.143500927799561,1.5675324116442884,0.376019922493688,12.143500927799561,1.5675324116442884,0.376019922493688
37,4.298805548133959,1.6577845569463836,0.6242769803593724,12.138460571562963,0.7388006974049137,0.3437594897869136,12.138460571562963,0.7388006974049137,0.3437594897869136
41,3.9797328499110014,2.1268293138209655,0.8847345072426815,12.145567899631107,1.0406546117905364,0.34260918424947917,12.145567899631107,1.0406546117905364,0.34260918424947917
47,7.348189784499061,2.3180244567690362,0.7198424576253242,12.224692559524522,1.1224437948314865,0.26861876774087,12.224692559524522,1.1224437948314865,0.26861876774087
48,7.51450884869597,4.745631013140125,2.049546714738904,11.773311748801376,1.765030299349755,0.6062188053445006,11.773311748801376,1.765030299349755,0.6062188053445006
49,1.69096340095901,1.337925142520401,1.2060508127992478,11.932589852455328,1.3057605099249514,0.4458836777360293,11.932589852455328,1.3057605099249514,0.4458836777360293
51,3.1452583451057397,2.6142478042753865,1.3854012221791212,11.989747796189622,1.3908037518190888,0.5110762624673271,11.989747796189622,1.3908037518190888,0.5110762624673271
55,0.9313074341905567,0.7004349660940292,1.5705753394314117,7.144039678439861,0.6053486464638445,2.4554564947085575,7.144039678439861,0.6053486464638445,2.4554564947085575
58,2.580165081701834,1.882693930492234,1.6825133829365484,12.170932403969463,0.8651373388696939,0.3170210884729485,12.170932403969463,0.8651373388696939,0.3170210884729485
59,1.554806498815931,1.269056186345666,2.0891083189230892,9.730043828156333,2.401786476976442,2.5239788991872842,9.730043828156333,2.401786476976442,2.5239788991872842
64,1.5120408448309917,1.2303724423395108,1.0666517780984552,11.918175111190287,1.8749172524418167,0.520198336675934,11.918175111190287,1.8749172524418167,0.520198336675934
65,1.1520153694938582,0.7952210367149082,2.327120138403316,8.17531730663628,1.6743422403142239,3.39497095776448,8.17531730663628,1.6743422403142239,3.39497095776448
71,3.5444231796788817,2.7767731959420408,2.0712599895603745,7.405628535558379,1.5413824110738936,3.040036146875056,7.405628535558379,1.5413824110738936,3.040036146875056
75,3.698343993735927,2.0603541233798266,0.8851828176281726,12.139631189608066,1.1277330591094241,0.32168126517309936,12.139631189608066,1.1277330591094241,0.32168126517309936
77,0.33456612433984567,0.2823544128774804,0.9145205827303169,7.524200763509396,1.2500406499401935,3.0385790281600213,7.524200763509396,1.2500406499401935,3.0385790281600213
80,4.329777652654329,2.6348036755613373,1.7665284942188162,11.944564230165398,1.2372463158544775,0.48524950524680044,11.944564230165398,1.2372463158544775,0.48524950524680044
81,5.983136345876279,4.545667450439311,2.0691638597432043,11.650901305153353,2.494438703107699,0.7941216285953558,11.650901305153353,2.494438703107699,0.7941216285953558
85,6.931991683122593,4.873965341274596,1.3029377913533207,12.238080572076939,1.2048588006422705,0.2616498007486481,12.238080572076939,1.2048588006422705,0.2616498007486481
92,0.8879571772502934,0.718814220387707,1.8631392730047935,11.571391108677005,1.5821540070969107,0.6220174385242689,11.571391108677005,1.5821540070969107,0.6220174385242689
93,5.487736812032783,2.6499152381230173,1.4430994166418856,12.188205505060347,1.2833319688590183,0.33744236149286877,12.188205505060347,1.2833319688590183,0.33744236149286877
94,3.6686806541189334,2.986045919350424,1.9354135199796136,11.114281226897251,1.4417246605953373,1.011154006509118,11.114281226897251,1.4417246605953373,1.011154006509118
95,0.8018825338186555,0.6801753453481845,1.0792733690951548,5.568399978837053,1.078418242696829,4.217250416029963,5.568399978837053,1.078418242696829,4.217250416029963
107,0.9305292959629412,0.6812344871079112,1.993690578865932,11.290817473846353,1.3906456837479535,0.8799201924034961,11.290817473846353,1.3906456837479535,0.8799201924034961
109,1.1863394613282319,0.8616694966003093,3.044819421398298,11.4148617615584,1.3408319283120438,0.8775430040622787,11.4148617615584,1.3408319283120438,0.8775430040622787
131,6.902250320965856,4.641387722541876,1.2969208833412695,12.225718347449119,2.614845373526327,0.25618806596103383,12.225718347449119,2.614845373526327,0.25618806596103383
133,6.525228829126751,3.3340390126812522,1.490275216548203,11.499447708996193,2.652187754169878,0.954433389254838,11.499447708996193,2.652187754169878,0.954433389254838
135,1.21395365311556,0.8395680268570445,1.12837890802734,12.286633029581997,0.5589640750358793,0.23216193224622295,12.286633029581997,0.5589640750358793,0.23216193224622295
143,6.540887591126921,2.953876243110333,1.5385453369846207,11.573451614059026,1.5831924627594933,0.6136174376818495,11.573451614059026,1.5831924627594933,0.6136174376818495
146,6.336523036956535,2.929417271230399,1.3560751837587866,12.02046304861561,1.826691121923929,0.48887434715641476,12.02046304861561,1.826691121923929,0.48887434715641476
147,5.8243728505519154,3.401261589667971,1.9386478277664434,11.6968005812177,1.5119629133369,0.6337518033230598,11.6968005812177,1.5119629133369,0.6337518033230598
174,0.3659697939123028,0.27957369514387875,1.5840640656452019,4.824011650620768,0.5133290735769096,1.68936416621173,4.824011650620768,0.5133290735769096,1.68936416621173
193,4.135579474671149,3.1101033110832375,0.9466345907152904,12.057549113563198,1.4142516256607216,0.4326153946386775,12.057549113563198,1.4142516256607216,0.4326153946386775
195,1.084872069394959,0.7841474719045385,1.9633402413790657,7.881050740542687,0.8005484234301639,1.9347864365911587,7.881050740542687,0.8005484234301639,1.9347864365911587
196,0.7641518106991585,0.5784798238422084,1.5082636073162456,8.397597252532208,1.3613297214012041,1.8250721602443676,8.397597252532208,1.3613297214012041,1.8250721602443676
197,2.669900214705775,1.5057456536947535,3.64892669737155,8.298485819123373,2.9368178610969853,3.358933757839514,8.298485819123373,2.9368178610969853,3.358933757839514
202,1.1906957733398118,0.8199823934640451,1.6471109320695858,5.2447969741681355,0.8389758236191298,1.78755874528286,5.2447969741681355,0.8389758236191298,1.78755874528286
206,0.8213943056732491,0.6525967710166158,1.4715744807449225,8.908516381987491,1.2768082559980654,2.8829991535402772,8.908516381987491,1.2768082559980654,2.8829991535402772
213,4.573642034690498,3.6925748945059853,2.0804317517718003,10.957965529256223,1.2357338092968035,1.215438292779945,10.957965529256223,1.2357338092968035,1.215438292779945
214,5.115668387155618,1.7524868596243066,1.6385447442635712,6.70399724305199,1.0261243116906265,3.006747273826253,6.70399724305199,1.0261243116906265,3.006747273826253
216,7.139774721515073,2.548925682772495,1.1602787878659644,11.400229267187706,0.8402903690543031,0.9526012934309023,11.400229267187706,0.8402903690543031,0.9526012934309023
217,0.39583213367131664,0.334006051428942,0.9811265124968069,3.9713321094057847,0.6611105523200616,2.4084967506946113,3.9713321094057847,0.6611105523200616,2.4084967506946113
219,0.9424361913320012,0.7523363630746789,1.2514104601548612,4.199843380501602,1.0335023485486179,3.1533975444954985,4.199843380501602,1.0335023485486179,3.1533975444954985
