TARGID,MAG_R,MAG_G,SNR_RED,SNR_BLUE,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL,D_along,D_fil,is_member,nspec,timesc,err_lo,err_hi,t99,err_lo_t99,err_hi_t99,m_star,err_lo_m,err_hi_m
A2142-2538,18.5488,19.5135,9.647835731506348,2.458303928375244,239.4519037,26.5164597,239.452,26.5164,3.0,0.0902219,3.188441374895403,4.515748484821371,True,5,0.8766603136147886,0.61727596923261,2.563281385259128,10.589258452768291,1.53086612735523,1.363350318535339,10.589258452768291,1.53086612735523,1.363350318535339
A2142-2649,19.2129,19.9198,7.643599510192871,3.106400966644287,239.5912847,26.4329971,239.591,26.433,3.0,0.0854734,3.599221187804293,9.759461644191036,False,6,0.942004283008112,0.7294233187232928,1.9366798470274065,4.196298555155034,1.6682212200043836,3.4724175864496765,4.196298555155034,1.6682212200043836,3.4724175864496765
A2142-7614,18.8543,19.4835,6.226874828338623,2.47681188583374,239.9890324,26.1963247,239.989,26.1963,3.0,0.0861621,5.275969915874445,7.698167327138904,False,8,3.894458042317398,2.984182856309923,1.1365520604374917,12.357332656143925,0.8391460252702636,0.2098758518995058,12.357332656143925,0.8391460252702636,0.2098758518995058
A2142-2537,19.4497,20.3764,5.592811584472656,1.752431869506836,239.4771412,26.5575165,239.477,26.5575,3.0,0.0875949,2.9789433622449364,3.898423444949108,True,11,2.6588105632951127,2.0226785586976543,1.8885217369290128,9.82741044545642,1.947368247877364,2.2951995693024507,9.82741044545642,1.947368247877364,2.2951995693024507
A2142-2648,19.383,20.2359,6.668150424957275,2.247275352478028,239.6885365,26.5764398,239.689,26.5764,2.0,0.087253,3.2763681532023656,4.581350483906342,True,16,2.4798535895172105,2.236916422995254,1.3690769685778506,12.147493597985427,1.3890040745537655,0.3162899402624965,12.147493597985427,1.3890040745537655,0.3162899402624965
A2142-2766,18.77,19.7173,12.200872421264648,4.229531288146973,239.7066373,26.3753764,239.707,26.3753,2.0,0.0865622,4.080901668771004,6.617003663472845,True,17,0.2373567940720082,0.2060164921953085,0.6725433430514105,8.800565377178357,0.7923214209071752,1.4382545613444329,8.800565377178357,0.7923214209071752,1.4382545613444329
A2142-7628,18.4453,19.2092,13.802515029907228,6.443246364593506,240.0017109,26.0657349,240.002,26.0658,3.0,0.0905921,6.107906300434359,5.170807415741477,True,24,8.020059509389235,2.5627856526175323,1.475396672420619,12.202912981621616,0.8400395963713834,0.286263933120491,12.202912981621616,0.8400395963713834,0.286263933120491
A2142-2453,19.6509,20.0094,4.549573421478272,2.853135824203491,239.448743,26.6331131,239.449,26.6332,3.0,0.0863811,2.5882973990884066,7.1934995704418325,False,26,1.4040804451704627,0.9516146553546888,1.7412013830135482,12.41002338280397,0.5931065076514308,0.1519118911894335,12.41002338280397,0.5931065076514308,0.1519118911894335
A2142-8587,18.9613,19.791,9.210698127746582,3.872446775436402,239.544911,26.7026441,239.545,26.7026,3.0,0.0922742,2.652862285634741,10.081364821415557,False,27,4.798734201232104,2.905330476959633,1.437011645390295,11.98931826977775,1.5771018780954869,0.4458947395697521,11.98931826977775,1.5771018780954869,0.4458947395697521
A2142-2550,19.3622,20.204,6.671457290649414,2.182423114776612,239.5836791,26.527825,239.584,26.5278,3.0,0.0882889,3.3182786856781714,2.052739221172399,True,28,1.745948484084928,1.5358977793958395,1.8659173753965372,12.15715051215216,1.2253059952934289,0.3495338537903478,12.15715051215216,1.2253059952934289,0.3495338537903478
A2142-2768,18.8829,19.8698,9.43881607055664,3.411403179168701,239.8061429,26.4389617,239.806,26.439,3.0,0.0868414,4.020680588418559,5.740490192614377,True,29,1.643914560266646,1.2167705434446674,2.2014823151790264,10.616878958799536,1.6959619365567633,1.4048674031703694,10.616878958799536,1.6959619365567633,1.4048674031703694
A2142-2658,18.6134,19.6033,13.679458618164062,4.985693454742432,239.7519866,26.5047543,239.752,26.5047,3.0,0.0875708,3.69121955959675,3.6727367697906477,True,30,0.4551484750539166,0.3463598134289743,0.9000507947074307,6.8632164718497455,1.0743799109307632,2.668324202055968,6.8632164718497455,1.0743799109307632,2.668324202055968
A2142-2560,19.6753,20.5362,5.918680667877197,1.856460690498352,239.6145668,26.6163775,239.615,26.6164,3.0,0.0843384,2.884608046844357,12.95462859239245,False,35,3.1323543832566187,1.219937911004445,1.182027083129479,10.49562520359276,1.7134897722279447,1.3863420705337184,10.49562520359276,1.7134897722279447,1.3863420705337184
A2142-2536,18.8861,19.8017,9.703653335571287,3.196829080581665,239.4864481,26.5772419,239.487,26.5773,2.0,0.0875275,2.9146827797758292,4.042224960568813,True,37,2.0253371237573727,1.618703644289214,2.419326690283881,4.80072662573463,1.6116840731050792,2.149337608880619,4.80072662573463,1.6116840731050792,2.149337608880619
A2142-2783,19.9631,20.9084,4.415162563323975,1.3070907592773438,239.805189,26.462092,239.805,26.4621,3.0,0.0870666,3.936893934859353,5.088864119632752,True,41,1.7519375112665854,1.1895370471332145,0.8984167440732893,3.889170135455805,0.6722375867742496,1.5795678218241085,3.889170135455805,0.6722375867742496,1.5795678218241085
A2142-2443,18.7863,19.3965,6.695701599121094,2.795994281768799,239.4168843,26.6089573,239.417,26.6089,3.0,0.0906761,2.7543660099099068,5.712693458392533,True,47,0.7581267807976797,0.6011730289077786,2.71564089019176,5.973589520944769,1.3763705364303531,3.785004296314812,5.973589520944769,1.3763705364303531,3.785004296314812
A2142-2528,19.461,20.418,7.86734676361084,2.570107936859131,239.6158242,26.6401432,239.616,26.6401,3.0,0.0852545,2.824778114365034,10.311391138933882,False,48,3.492824506348736,2.385294979655121,1.62289886691957,12.095899473919204,1.1697610217692844,0.3939247858859289,12.095899473919204,1.1697610217692844,0.3939247858859289
A2142-3948,19.7728,20.5738,3.7885372638702393,1.2480524778366089,239.71672,26.8817446,239.717,26.8817,3.0,0.0934347,2.253404144750581,13.357665455569537,False,49,0.8659372437744937,0.7059009042531237,2.482488932394525,8.410955634464894,1.8578269534807488,2.7318177466989084,8.410955634464894,1.8578269534807488,2.7318177466989084
A2142-3959,21.2202,21.4698,1.5672645568847656,0.6920017600059509,239.7330459,26.8411431,239.733,26.8412,3.0,0.0873609,2.301758468036457,4.171603882361942,True,,,,,,,,,,
A2142-8593,18.3318,19.2956,12.614052772521973,4.321342945098877,239.6138098,26.6759421,239.614,26.6759,3.0,0.0865533,2.7214695191991867,6.576941961252642,True,55,3.339934526906619,2.46879682736256,1.6973499060970134,11.88154633199791,1.509993408471619,0.5136569025828486,11.88154633199791,1.509993408471619,0.5136569025828486
A2142-2728,21.4026,21.9854,0.5204023718833923,0.2450446486473083,239.7461646,26.5373988,239.746,26.5374,3.0,0.0859811,3.4864004316027644,8.204250557919401,False,,,,,,,,,,
A2142-2644,19.9549,20.608,5.854259967803955,2.741330623626709,239.6589388,26.6053741,239.659,26.6054,3.0,0.0842882,3.003328720174742,13.090218718957935,False,59,3.568758567390944,2.553746534790813,3.3168429986942964,11.84148027892698,1.531544799287012,0.6052673817928476,11.84148027892698,1.531544799287012,0.6052673817928476
A2142-8710,19.4075,20.3008,7.984116554260254,2.666665554046631,239.738418,26.6676404,239.738,26.6676,2.0,0.0861882,2.966342100094034,7.581256395399461,False,64,3.616820701489031,2.9284282026635635,2.8817028269249105,11.182232632487384,2.4226050126379963,0.8983189662654141,11.182232632487384,2.4226050126379963,0.8983189662654141
A2142-8686,20.1885,20.9003,2.9560227394104004,1.1207399368286133,239.7337274,26.7601222,239.734,26.7601,3.0,0.0870361,2.6176953598283608,5.121408356209507,True,,,,,,,,,,
